grid_position,qualifying_position,qualifying_grid_gap,recent_avg_finish,recent_finish_std,recent_avg_qualifying,recent_avg_qualifying_to_finish,recent_avg_constructor_finish,recent_avg_constructor_qualifying,driver_circuit_history,circuit_avg_position_change,driver_circuit_avg_position_change,recent_avg_position_change,position_change,season,round,race_id,driver
14,14.0,0.0,11.333333333333334,3.0550504633038913,11.333333333333334,0.3333333333333333,11.291666666666668,11.333333333333334,10.0,0.0,0.0,0.3333333333333333,1,2022,1,2022_1,Alexander Albon
3,3.0,0.0,11.333333333333334,3.0550504633038913,11.333333333333334,0.3333333333333333,11.291666666666668,11.333333333333334,10.0,0.0,0.0,0.3333333333333333,1,2022,1,2022_1,Carlos Sainz
1,1.0,0.0,11.333333333333334,3.0550504633038913,11.333333333333334,0.3333333333333333,11.291666666666668,11.333333333333334,10.0,0.0,0.0,0.3333333333333333,0,2022,1,2022_1,Charles Leclerc
18,18.0,0.0,11.333333333333334,3.0550504633038913,11.333333333333334,0.3333333333333333,11.291666666666668,11.333333333333334,10.0,0.0,0.0,0.3333333333333333,4,2022,1,2022_1,Daniel Ricciardo
11,11.0,0.0,11.333333333333334,3.0550504633038913,11.333333333333334,0.3333333333333333,11.291666666666668,11.333333333333334,10.0,0.0,0.0,0.3333333333333333,4,2022,1,2022_1,Esteban Ocon
8,8.0,0.0,11.333333333333334,3.0550504633038913,11.333333333333334,0.3333333333333333,11.291666666666668,11.333333333333334,10.0,0.0,0.0,0.3333333333333333,-1,2022,1,2022_1,Fernando Alonso
9,9.0,0.0,11.333333333333334,3.0550504633038913,11.333333333333334,0.3333333333333333,11.291666666666668,11.333333333333334,10.0,0.0,0.0,0.3333333333333333,5,2022,1,2022_1,George Russell
15,15.0,0.0,11.333333333333334,3.0550504633038913,11.333333333333334,0.3333333333333333,11.291666666666668,11.333333333333334,10.0,0.0,0.0,0.3333333333333333,5,2022,1,2022_1,Guanyu Zhou
7,7.0,0.0,11.333333333333334,3.0550504633038913,11.333333333333334,0.3333333333333333,11.291666666666668,11.333333333333334,10.0,0.0,0.0,0.3333333333333333,2,2022,1,2022_1,Kevin Magnussen
19,19.0,0.0,11.333333333333334,3.0550504633038913,11.333333333333334,0.3333333333333333,11.291666666666668,11.333333333333334,10.0,0.0,0.0,0.3333333333333333,7,2022,1,2022_1,Lance Stroll
13,13.0,0.0,11.333333333333334,3.0550504633038913,11.333333333333334,0.3333333333333333,11.291666666666668,11.333333333333334,10.0,0.0,0.0,0.3333333333333333,-2,2022,1,2022_1,Lando Norris
5,5.0,0.0,11.333333333333334,3.0550504633038913,11.333333333333334,0.3333333333333333,11.291666666666668,11.333333333333334,10.0,0.0,0.0,0.3333333333333333,2,2022,1,2022_1,Lewis Hamilton
2,2.0,0.0,11.333333333333334,3.0550504633038913,11.333333333333334,0.3333333333333333,11.291666666666668,11.333333333333334,10.0,0.0,0.0,0.3333333333333333,-17,2022,1,2022_1,Max Verstappen
12,12.0,0.0,11.333333333333334,3.0550504633038913,11.333333333333334,0.3333333333333333,11.291666666666668,11.333333333333334,10.0,0.0,0.0,0.3333333333333333,1,2022,1,2022_1,Mick Schumacher
20,20.0,0.0,11.333333333333334,3.0550504633038913,11.333333333333334,0.3333333333333333,11.291666666666668,11.333333333333334,10.0,0.0,0.0,0.3333333333333333,4,2022,1,2022_1,Nicholas Latifi
